"id","name","code","public_name","number","type","text","created_at","updated_at","video"
"1","Jovial","JO","Absorptive","2","Style","This aspect of you is passive.  Meaning it offers up a wise and reverent approach to sharing memories and a precognitive understanding of life. You are engaging and good-natured; a joyful person who naturally invokes the confidence of others through your exuberant and cheerful disposition. This provides you with an availability factor that affords you an attractive quality at social events. You also possess an absorptive nature that affords you proficiency in consuming and archiving vast amounts of information. Additionally, you are able to recapitulate content and experiences with very little effort. This lends itself to a deep understanding of the world and those in it.  You are well liked and needed by others. People love you.","2024-06-26 00:00:00","2024-07-01 05:52:33","The Absorptive Trait.mp4"
"2","Jovial","JO","Absorptive","1","Style","You are extremely absorptive. This means you can archive vast amounts of information easily. Much like a library, you are able to draw from experiences and concepts and hold onto content permanently.  This makes you somewhat of a walking encyclopedia when it comes to anything of interest or applied necessity. Providing you make healthy choices for yourself; this aspect lends itself to extreme intelligence. It affords you the opportunity to process, store and deliver information at will. Because of this combination, your understanding of love and life is very deep as opposed to being superficial. You are also an extremely entertaining individual who makes others feel warm and welcome. This availability factor invites others to be in your presence.  This is just one part of you and is very passive in nature.","2024-06-26 00:00:00","2024-06-26 00:00:00","The Absorptive Trait.mp4"
"3","Power","POW","Accomplishment","1","Feature","ACCOMPLISHMENT motivates you. This feature is all about accomplishing goals with or without the consensus of others. You naturally have the ability to make things happen and consequently may become restless if no goals are in sight and frustrated where goals are set too high. Pursuing unrealistic goals can invoke an intimidating quality in you that is not attractive to others, further keeping you from achieving success in a manner that is healthy and natural. Because accomplishing goals serves as your oxygen needed to proceed, it is vital that reasonable daily goals always be a part of your routine. Be careful to not set unreasonable benchmarks for yourself. Without consistency, this feature can be extremely merciless in achieving its desired objective â€“ which is ultimately to win. Keep your expectations attainable and intelligence will prevail in all of your pursuits.","2024-06-26 00:00:00","2024-06-26 00:00:00","Accomplishment.mp4"
"4","Vanity","VAN","Aesthetic Sensibility","1","Feature","AESTHETIC SENSIBILITY motivates you. This feature is responsible for creating and maintaining the beautiful environments in which you can give and gain attention. Without this, the world would have a lack-luster appeal to many. Your presentation holds great significance not only to yourself but to others as well. It literally becomes the driving force behind all that is important to you as you gravitate towards opportunities to present yourself to the world, whether it is the world of family, work or at-large. This pull towards receiving attention is natural for all of us for without attention we would lose our desire to thrive. However, when this is a driving force one must take personal responsibility for seeing to it that they get opportunities to share their wisdom and display their gifts. It does not mean you have to subscribe to being a rock star (some do) but it does mean that conversations with one or more individuals must be a part of your daily routine. Meaningful exchanges with colleagues, friends and family are a must. Your personal presentation produces thoughtful consideration versus happenstance. Compliments become you because they feed you. In a relationship, receiving daily praises will keep you content and energized. This is not necessary for everyone. This talent is essentially responsible for creating beauty in the world, be it in architecture, interior decorating or apparel design. It sets the standard. It is something you require in order to stay healthy in any environment. If you are not exercising your creative talents, it would be wise to make time for them. Individuals with this feature often make spectacular salespeople. Should you experience a lack of attention or opportunities to shine, you can become self-absorbed. Make sure that you volunteer for assignments that require your aesthetic sensibility and performance potential.","2024-06-26 00:00:00","2024-06-26 00:00:00","Aesthetic Sensibility.mp4"
"5",,,"Alchemy","1",,"Alchemy addresses your refinement preferences; whether you are meticulous, practical, messy, and what you can tolerate in others. The Knowledge of Y.O.U. uses the analogy of ore to exemplify states of refinement, specifically Gold, Silver and Copper. Alchemy determines where your ""BOUNDARIES"" begin and end. This range identifies what you can tolerate in terms of people, places and things and how to best manage your choices in maximizing your energy potential. Alchemical incompatibility is the number one reason for challenges in relationships. Not addressing boundary issues in any relationship can result in relationship failure.  In business and in life it is vital to know what your personal alchemical range of tolerance is so that you can better understand your own boundaries and those around you.","2024-06-26 00:00:00","2024-06-26 00:00:00",NULL
"6","Self Pity","SP","Compassion","1","Feature","COMPASSION is motivates you. It provides you with a great personal concern for others. Being of service to others feeds you and keeps you feeling aligned. You naturally make others feel better through your inviting and caring manner. By continuing to surround yourself with opportunities and environments that require your loving attentions you will ensure your own vitality. When there is no opportunity to give or gift your talents and deeds, you may focus your compassionate nature inward and exhibit sorrowful and self-centered behaviors. It is very important that you stay out of your SELF and into others. This is not the case for everyone but it is necessary for your own INTELLIGENT survival. Failure to seek out service oriented opportunities can result in becoming self-pitiful.","2024-06-26 00:00:00","2024-06-26 00:00:00","Compassion.mp4"
"7","Copper","C","Copper","1","Alchemy","Your test results revealed that you have a COPPER level of refinement. Since alchemy is the main player in relationships, if oneâ€™s alchemy is too high it can be quite intolerant of others. This is frequently helpful to know in selecting partners, jobs and places to live. A Copper alchemy is very adaptable when it comes to living simply. Often times the daily issues that others have with household chores, maintaining possessions and dressing for success, fall by the wayside in terms of priorities. Coppers are very tolerant of messes, dishes in the sink and piles of dirty laundry. They do not feel the urgency to make the bed, empty the garbage or have a meticulous environment in order to entertain. Often times Coppers are judged unfairly in that their primitive and more organic lifestyle appears to be a choice of neglect when in fact it is something that they create intentionally for reasons of personal comfort. They thrive best in a lived-in environment. It reveals to them that life has been experienced here and this brings them a sense of participating in life. All Coppers do very well with pets. Cat and dog hair, smells and stains on the carpet again just serve as reminders that life is in session and they are a part of it. This breeds a sense of self-significance and self-confidence. Coppers get a bad rap for being slobs and careless when in fact the intention that lies behind their performance is never directed at trying to achieve mediocrity or destruction. Unfortunately, High Silvers and Golds can be extremely critical and intolerant of Coppers in an effort to try and change them. Silvers are typically the easiest to get along with and can move in any environment. By virtue they have an easier compatibility range. Coppers, like Golds do not have the variety of friends that Silvers do. Coppers can raise their tolerance and increase their mass appeal by simply cleaning up their environment and paying more attention to their physical appearance. Typically Coppers rarely judge others as they do not congregate in areas where they do not feel welcome. They do however, see themselves as clean and presentable in terms of what feels friendly and welcoming to them. Often times they have an easy going approach to life and see their purpose as one of encouraging others to just relax. Alchemical incompatibility or defining refinement intolerance is often the very reason we misjudge others.","2024-06-26 00:00:00","2024-06-26 00:00:00","Copper Alchemy.mp4"
"8","Copper","CS","Copper-Silver","1","Alchemy","Your test results revealed that you have a COPPER/SILVER level of refinement. Since alchemy is the main player in relationships, if oneâ€™s alchemy is too high it can be quite intolerant of others. This is frequently helpful to know in selecting partners, jobs and places to live. The more Silver you have the easier it is to tolerate others. Silvers can move in any environment. By virtue they have an wider compatibility range. Silvers can walk away from a messy room, are a little more flexible and make friends easily! Golds are a little more meticulous and inflexible and cannot tolerate a Copper preference at all. They often take issue with the little annoyances that come with kids, messes and things left lying about. A Copper/Silver on the other hand actually tolerates these types of environmental occurrences quite well. Copper/Silvers usually live in areas that share a relaxed and in some cases, a rural approach to life. They can tolerate quite a bit but do not do well living in areas that have too much Gold. They can however, visit or vacation in these areas for a very short period of time... like an afternoon. Both high Silver and low Copper can be tolerated by you. Silvers are not messy but many have organized piles. A Copper/Silver will let the piles lay about and accumulate and rarely feel the need to remove them from sight if company were to arrive. Some piles may even be ready for the trash rather than filing. Like the solid Silver you have a much wider spectrum of friends. But like any Copper you may periodically experience criticism for your lack of urgency or attention to detail when it comes to being tidy. Because your presentation does quite well in both high Silver arenas and low Copper venues you have many choices as well as much to see and participate in during your lifetime. Traveling to 3rd world countries and living among the natives comes natural to you, as long as it is only temporary. You can tolerate smells and the lack of creature comforts quite well and could easily adapt to coarse and rugged environments. In an effort to increase your own field of influence and enhance your tolerance range, it would be wise to make adjustments towards your Silver. This would require that you become a little more attentive to your home and self in terms of upkeep and value maintenance. Be considerate of the alchemy of others as it is often the very reason we misjudge.","2024-06-26 00:00:00","2024-06-26 00:00:00","Copper-Silver Alchemy.mp4"
"9","Fear","FE","Creates Protection","1","Feature","CREATING PROTECTION motivates you. When threats are perceived in life you immediately take preventative measures to correct the situation. You are always looking out for the best interests of yourself and others in striving to create safe environments for all. When you find it difficult to resolve issues of concern, there is a tendency to panic. Inappropriate fear creates panic on a larger scale and in extreme cases can start wars and crush the economy. We see this in our media and those that exhibit fear are most sensitive to it. Realizing your sensitive nature, it is vital that you create a litmus test or reality check that you can enlist daily in making intelligent decisions. It is important to know that people like yourself are largely responsible for our civilized environment, meaning without healthy fear, there would be no laws on the books to protect us. Thus, when you are not creating protection, be it crusading for a crosswalk, insisting everyone grab their umbrella, or replacing the brake pads just in case, you will begin to lose energy. Always find some way to improve upon civilization. We need you.","2024-06-26 00:00:00","2024-06-26 00:00:00","Creating Protection.mp4"
"10","Dominance","DOM","Creating Order","1","Feature","CREATING ORDER motivates you. This feature often gets a bad rap as one of being ""controlling"" but the truth is that it is trying to organize and list things in an effort to proceed on the road of life. This orderly nature is a very attractive trait when serving in a leadership capacity, as it is able to access what is required without much delay. It does this by organizing, maximizing and delegating. When you surround yourself with healthy opportunities to create order in all aspects of your life you continue to rise to your full potential. Given the nature of your feature or driving force, it is important that you realize how essential it is to live and work in an organized environment. Creating order actually invigorates you and gives you a sense of personal fulfillment. Impressing this innate need upon your family and colleagues is equally significant as your desire to establish efficiency and right the ship may often be taken personally. Let them know it is NEVER about them. Intelligently release your expectations of others as their needs may differ from yours. No manipulation is needed to create the order you require to accomplish your objectives. You must always focus on creating order in all areas of your life if you are to stay fed and nourished. Should you reach a point where you are out of things to organize or address be careful to not become manipulative. It is wise to seek out more to organize in an effort to continue to fuel your vehicle and keep you moving forward effectively.","2024-06-26 00:00:00","2024-06-26 00:00:00","Creating Order.mp4"
