"pages_id","name","title","metadescription","metakey","text","type","pos","url"
"1","About Us","About Us","About Us","About Us","About Us","0","0","about"
"2","Services","Services","Services","Services","Services","0","0","services"
"3","Certification","Certification","Certification","Certification","<h1>THE Y.O.U. INSTITUTE</h1>THE&nbsp; Y.O.U. Institute is allied with HumanOp Technologies in providing quality educational community seminars, certification programs and coaching services to families, individuals and entities using the ULT cutting edge curriculum, technology and strategies to better facilitate an understanding of human nature for purposes of creating healthy relationships in business, home and life. The ULT technology curriculum first received&nbsp;approval by the BBS, the BRN and the ICF in 2007. Today it focuses on many industries and continues to gain respect and acknowledgement as one of today's most advanced leading technologies in the understanding of human nature.<span><br> </span>   <h1> </h1> <h1>GIVING BACK</h1>Over the last several years, The Y.O.U. InstituteÂ®&nbsp;became aware of the fact&nbsp;that not everyone could remedy their lifeâ€™s problems with a one 7-10 page report. Instead the more expensive route was often required whereby low-income family members would need to be assessed and receive the qualified care of a certified TYI ULT practitioner for more than one visit. Often times a resolution program could run into thousands of dollars. With young men coming home from the war, single parents struggling to resolve children in crisis and issues of divorce mounting daily compounded by financial hardship, it became obvious that a program offering assessments, education and services to those suffering and longing for solutions was needed. TYI offers discounted services for military families in transition and single parents with children in crisis. <br><br>To apply for or inquire about services or certification programs, contact The YOU Institute 760-230-8016.<br>","0","0","certification"
"4","Our Team111","Our Team2","3Our Team","Our Team","Our Team1","0","0","our-team"
"5","White Papers","White Papers","White Papers","White Papers","White Papers","0","0","white-papers"
"6","Articles","Articles","Articles","Articles","Articles","0","0","articles"
"7","Calendar ","Calendar ","Calendar ","Calendar ","Calendar ","0","1","calendar"
"8","News & events","News & events","News & events","News & events","News & events","0","1","news"
"9","Institute","Institute","Institute","Institute","<h1>THE Y.O.U. INSTITUTE</h1>THE&nbsp; Y.O.U. Institute is allied with HumanOp Technologies in providing quality educational community seminars, certification programs and coaching services to families, individuals and entities using the ULT cutting edge curriculum, technology and strategies to better facilitate an understanding of human nature for purposes of creating healthy relationships in business, home and life. The ULT technology curriculum first received&nbsp;approval by the BBS, the BRN and the ICF in 2007. Today it focuses on many industries and continues to gain respect and acknowledgement as one of today's most advanced leading technologies in the understanding of human nature.<br><h1></h1><h1>GIVING BACK</h1>Over the last several years, The Y.O.U. InstituteÂ®&nbsp;became aware of the fact&nbsp;that not everyone could remedy their lifeâ€™s problems with a one 7-10 page report. Instead the more expensive route was often required whereby low-income family members would need to be assessed and receive the qualified care of a certified TYI ULT practitioner for more than one visit. Often times a resolution program could run into thousands of dollars. With young men coming home from the war, single parents struggling to resolve children in crisis and issues of divorce mounting daily compounded by financial hardship, it became obvious that a program offering assessments, education and services to those suffering and longing for solutions was needed. TYI offers discounted services for military families in transition and single parents with children in crisis.&nbsp;<br><br>To apply for or inquire about services or certification programs, contact The YOU Institute 760-230-8016.","0","1","institute"
"10","Products","Products","Products","Products","Products","0","1","products"
"11","Contact","Contact","Contact","Contact","Contact","0","1","contact"
"12","Terms & Use","Terms & Use","Terms & Use","Terms & Use","Terms & Use","0","1","terms"
"13","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","0","1","privacy"
"14","Welcome to the HumanOp Assessment (Powered by The ULT)","Welcome to the HumanOp Assessment (Powered by The ULT)","Welcome to the HumanOp Assessment (Powered by The ULT)",,"<h3>""Creating Perfect Relationships in Business, Home &amp; Life""</h3>

This evolutionary Human Assessment Instrument enables professionals and
individuals to identify personal potential, human tolerance, perceptivity,
motivations and behavioral strengths &amp; weaknesses.

Taking the test is a great opportunity for individuals seeking 
self-awareness to better understand themselves and others. 
The technology is unique and is considered to be the most objective and&nbsp;first tool of 
choice for those professionals seeking honest 
answers for their clients and themselves.<br>","0","0","step1"
"15","Personal Details",,,,"In order to start the test, please complete all fields in the form below.

We take your privacy very seriously. We will not sell, rent or share in any way your contact information with any other company, group or person.","0","0",
"16","CONGRATULATIONS!","CONGRATULATIONS!","CONGRATULATIONS!","CONGRATULATIONS!","<h1><u>CONGRATULATIONS!</u></h1>
You have completed The Ultimate Life Tool Assessment!
<br><br>We are confident that you will find the results of your report very 
valuable and necessary in maximizing your personal performance in all 
areas of your life. If you would like more information about you and 
optimizing your performance or wish to inquire about services, training seminars 
and certification, please contact TYI at 760-230-8016.<br><span><br><b>Your
 results are currently being processed and you will be contacted by the practitioner that referred you.  Please reach out to them for any questions you may have.</b></span><br><br><br><br><br><br><br><br><br><br><br>","0","0",
