"id","heading","body","sub","slide_id","sub1","sub2"
"24","The Cycle of Life",,,"1",,
"25","It,s About Understanding What We See",,,"3",,
"26","We Already Know How To See",,,"2",,
"27","How We Go Against Nature and Burn Out",,,"4",,
"28","The Knowledge of Y.O.U (Your Own Understanding)",,,"5",,
"31","The Knowledge of Y.O.U","<ul><li><font color=""#ff0000"">TRAITS</font></li><li>
MOTIVATIONS
</li><li>BOUNDARIES
</li><li>COMMUNICATION STYLE</li><li>
ENERGY &amp; PERCEPTION&nbsp;</li></ul>",,"6",,
"33","TRAITS","<p>The natural physical traits that make you unique:
The color of your hair and eyes, the shape of your face and other physical
traits all provide unique insight into your natural talents, capabilities and potential.</p>",,"7",,
"34","The Knowledge of Y.O.U","<ul><li>TRAITS
</li><li><font color=""#ff0000"">MOTIVATIONS
</font></li><li>BOUNDARIES
</li><li>COMMUNICATION STYLE
</li><li>ENERGY &amp; PERCEPTION&nbsp;</li></ul>",,"9",,
"35","MOTIVATIONS","<p>There are 12 motivators or ""drivers"" in everyone,s vehicle of self but only
two are authentically in the front seat navigating us through life.
Identifying what your two primary ""drivers"" are will help you to
understand why you do things a certain way and what ""fuel"" you
specifically need in order to thrive.</p>",,"10",,
"36","The Knowledge of Y.O.U","<ul><li>TRAITS</li><li>
MOTIVATIONS
</li><li><font color=""#ff0000"">BOUNDARIES</font></li><li>
COMMUNICATION STYLE
</li><li>ENERGY &amp; PERCEPTION</li></ul>",,"13",,
"38","BOUNDARIES","<p>Boundaries address your personal preferences or level of
refinement. Identifying and understanding your boundaries
of tolerance for others and in environments will help you to
maintain your energy and diffuse potential
misunderstandings with others.</p>","<p>We use the analogy of ore to describe
this part of the knowledge.</p>","14",,
"39","The Cycle of Life",,"<p>Fussy, Meticulous, Inflexible and Highly Refined</p>","15","<p>Neat, Flexible, Practical, Solid, Durable and Adaptable</p>","<p>Natural, Low Maintenance and Organic</p>"
"40","GOLD Representation",,,"16",,
"41","SILVER Representation",,,"17",,
"42","COPPER Representation",,,"18",,
"43","Places Have Alchemy",,,"19",,
"44","Alchemic Dissonance (Incompatibility)",,,"20",,
"45","Periodic Table of Alchemical Refinement",,,"22",,
"46","The Knowledge of Y.O.U","<ul><li>TRAITS</li><li>
MOTIVATIONS</li><li>
BOUNDARIES
</li><li><font color=""#ff0000"">COMMUNICATION STYLE</font></li><li>
ENERGY &amp; PERCEPTION&nbsp;</li></ul>",,"23",,
"47","COMMUNICATION STYLE","<p>There are 4 Energy Centers: Emotional, Moving, Intellectual
and Instinctual. Understanding what your primary Energy Center is will
reveal the specific way you connect with your environment, relate to
others and download information.</p>",,"24",,
"48","ENERGY FIELD",,,"25",,
"49","THE EMOTIONAL CENTER",,"<ul><li>Connect with living thing</li><li>Feel everything</li><li>Nurturing</li><li>Passionate</li></ul>","26",,
"50","THE INSTINCTUAL CENTER",,"<p>Happiest Sensing Life</p><ul><li>Look good</li><li>Sounds good</li><li>Smells good</li><li>Tastes good</li><li>Feels good</li></ul>","27",,
"53","THE INTELLECTUAL CENTER",,"<p>Happiest entertaining new concepts</p><p>think rather then do</p><p>curl up with a good book</p><p>Engage in deep discussion</p>","28",,
"54","THE MOVING CENTER",,"<p>Happiest when physically moving</p><p>Connect when moving</p><p>Download information best when moving</p>","29",,
"55","The Knowledge of Y.O.U","<ul><li>TRAITS
</li><li>MOTIVATIONS</li><li>
BOUNDARIES</li><li>
COMMUNICATION STYLE</li><li><font color=""#ff0000"">
ENERGY &amp; PERCEPTION</font>&nbsp;</li></ul>",,"32",,
"56","ENERGY POOL","<p>Your ENERGY POOL is simply how much physical energy you have to spend each day. The range is
 between 25 and 35.</p>",,"33",,
"57","PERCEPTION","<p>Your Ã¢â‚¬â€¢Perception of Life"" defines your electromagnetic potential You are either positively, negatively, or neutrally charged. Your perception reveals whether you see what is working first, what is not, or the ability to see both perspectives at the same time.&nbsp;</p>",,"34",,
"58","Polarity (Perception) & Energy Pool",,,"35",,
